A1BG	ENSG00000121410
A4GALT	ENSG00000128274
AADAT	ENSG00000109576
AAK1	ENSG00000115977
AANAT	ENSG00000129673
ABCA1	ENSG00000165029
ABCA7	ENSG00000064687
ABCB8	ENSG00000197150
ABCB9	ENSG00000150967
ABCB11	ENSG00000073734
ABCC5	ENSG00000114770
ABCD2	ENSG00000173208
ABCD4	ENSG00000119688
ABHD10	ENSG00000144827
ABHD14A-ACY1	ENSG00000114786
ABHD16A	ENSG00000204427
ABL2	ENSG00000143322
ABRAXAS1	ENSG00000163322
ABRAXAS2	ENSG00000165660
ACAA2	ENSG00000167315
ACACB	ENSG00000076555
ACOT9	ENSG00000123130
ACSF2	ENSG00000167107
ACSM2B	ENSG00000066813
ACTL6B	ENSG00000077080
ACTRT1	ENSG00000123165
ADAD2	ENSG00000140955
ADAM15	ENSG00000143537
ADAM23	ENSG00000114948
ADAMTS1	ENSG00000154734
ADAMTS12	ENSG00000151388
ADAMTS19	ENSG00000145808
ADAMTS20	ENSG00000173157
ADAP2	ENSG00000184060
ADAT1	ENSG00000065457
ADCK5	ENSG00000173137
ADD3	ENSG00000148700
ADGRB3	ENSG00000135298
ADGRD1	ENSG00000111452
ADGRG4	ENSG00000156920
ADH5	ENSG00000197894
ADIRF	ENSG00000148671
ADK	ENSG00000156110
ADORA3	ENSG00000282608
ADPRH	ENSG00000144843
ADRA1A	ENSG00000120907
ADRA2A	ENSG00000150594
ADTRP	ENSG00000111863
AEN	ENSG00000181026
AFDN-DT	ENSG00000198221
AFG1L	ENSG00000135537
AGAP1-IT1	ENSG00000235529
AGER	ENSG00000204305
AGGF1	ENSG00000164252
AGL	ENSG00000162688
AGMO	ENSG00000187546
AGO1	ENSG00000092847
AGO2	ENSG00000123908
AGXT	ENSG00000172482
AIPL1	ENSG00000129221
AJUBA	ENSG00000129474
AK7	ENSG00000140057
AKAP7	ENSG00000118507
AKAP8	ENSG00000105127
AKAP9	ENSG00000127914
AKR1C1	ENSG00000187134
AKR7A3	ENSG00000162482
ALDH1A2	ENSG00000128918
ALDH3A1	ENSG00000108602
ALDH18A1	ENSG00000059573
ALDOC	ENSG00000109107
ALG1	ENSG00000033011
ALG3	ENSG00000214160
ALKAL1	ENSG00000196711
AMBRA1	ENSG00000110497
AMER3	ENSG00000178171
AMIGO1	ENSG00000181754
AMN1	ENSG00000151743
AMOT	ENSG00000126016
AMOTL2	ENSG00000114019
AMY1A	ENSG00000237763
ANAPC16	ENSG00000166295
ANGPTL5	ENSG00000187151
ANGPTL7	ENSG00000171819
ANK2	ENSG00000145362
ANK3-DT	ENSG00000254271
ANKAR	ENSG00000151687
ANKHD1	ENSG00000131503
ANKK1	ENSG00000170209
ANKRD9	ENSG00000156381
ANKRD13B	ENSG00000198720
ANKRD27	ENSG00000105186
ANKRD30BL	ENSG00000163046
ANKRD40	ENSG00000154945
ANKUB1	ENSG00000206199
ANO5	ENSG00000171714
ANP32A	ENSG00000140350
ANP32B	ENSG00000136938
AOC2	ENSG00000131480
AP1AR	ENSG00000138660
AP3D1	ENSG00000065000
AP3S2	ENSG00000157823
AP4S1	ENSG00000100478
AP5B1	ENSG00000254470
APBB1IP	ENSG00000077420
APBB2	ENSG00000163697
APEH	ENSG00000164062
APOE	ENSG00000130203
APOLD1	ENSG00000178878
AQP10	ENSG00000143595
AQP12A	ENSG00000184945
AQP12B	ENSG00000185176
AREG	ENSG00000109321
ARF4-AS1	ENSG00000272146
ARF5	ENSG00000004059
ARFGAP3	ENSG00000242247
ARFRP1	ENSG00000101246
ARHGAP5-AS1	ENSG00000258655
ARHGAP15	ENSG00000075884
ARHGAP19	ENSG00000213390
ARHGAP25	ENSG00000163219
ARHGEF26	ENSG00000114790
ARL6IP4	ENSG00000182196
ARL8A	ENSG00000143862
ARL13A	ENSG00000174225
ARLNC1	ENSG00000260896
ARMC9	ENSG00000135931
ARMCX4	ENSG00000196440
ARMH3	ENSG00000120029
ARPC3	ENSG00000111229
ARR3	ENSG00000120500
ARRDC1	ENSG00000197070
ARRDC5	ENSG00000205784
ARSF	ENSG00000062096
ART3	ENSG00000156219
ART4	ENSG00000111339
ASAH1	ENSG00000104763
ASAH2B	ENSG00000204147
ASB3	ENSG00000115239
ASB6	ENSG00000148331
ASB16-AS1	ENSG00000267080
ASH1L-AS1	ENSG00000235919
ASIC3	ENSG00000213199
ASS1	ENSG00000130707
ATG10	ENSG00000152348
ATMIN	ENSG00000166454
ATOX1	ENSG00000177556
ATP1A4	ENSG00000132681
ATP1B2	ENSG00000129244
ATP2C1	ENSG00000017260
ATP5F1C	ENSG00000165629
ATP5ME	ENSG00000169020
ATP6AP2	ENSG00000182220
ATP6V0A2	ENSG00000185344
ATP13A2	ENSG00000159363
ATP13A3	ENSG00000133657
ATP13A4-AS1	ENSG00000225473
ATPSCKMT	ENSG00000150756
ATXN1L	ENSG00000224470
ATXN8OS	ENSG00000230223
AVIL	ENSG00000135407
AVPI1	ENSG00000119986
AXL	ENSG00000167601
AZI2	ENSG00000163512
AZIN2	ENSG00000142920
B4GALNT1	ENSG00000135454
B4GALT4-AS1	ENSG00000240254
BAG5	ENSG00000166170
BAG6	ENSG00000204463
BAGE2	ENSG00000187172
BAHD1	ENSG00000140320
BAIAP2L2	ENSG00000128298
BANCR	ENSG00000278910
BANP	ENSG00000172530
BARHL2	ENSG00000143032
BATF	ENSG00000156127
BAZ1B	ENSG00000009954
BBOF1	ENSG00000119636
BBOX1	ENSG00000129151
BBOX1-AS1	ENSG00000254560
BBS7	ENSG00000138686
BCAT1	ENSG00000060982
BCKDHA	ENSG00000248098
BCORL1	ENSG00000085185
BCR	ENSG00000186716
BCYRN1	ENSG00000236824
BDNF	ENSG00000176697
BEAN1-AS1	ENSG00000261656
BECN2	ENSG00000196289
BEND2	ENSG00000177324
BEST3	ENSG00000127325
BEX3	ENSG00000166681
BFSP1	ENSG00000125864
BHLHE23	ENSG00000125533
BIRC3	ENSG00000023445
BIRC5	ENSG00000089685
BIRC8	ENSG00000163098
BLK	ENSG00000136573
BMS1P14	ENSG00000276500
BMX	ENSG00000102010
BOLA1	ENSG00000178096
BOLA2B	ENSG00000169627
BOLL	ENSG00000152430
BPNT1	ENSG00000162813
BRD9	ENSG00000028310
BRINP3	ENSG00000162670
BROX	ENSG00000162819
BRWD3	ENSG00000165288
BSPRY	ENSG00000119411
BTBD1	ENSG00000064726
BTBD9	ENSG00000183826
BTBD16	ENSG00000138152
BTC	ENSG00000174808
BTN3A1	ENSG00000026950
BUB1	ENSG00000169679
BUD13	ENSG00000137656
BVES	ENSG00000112276
C1orf94	ENSG00000142698
C1QBP	ENSG00000108561
C1QC	ENSG00000159189
C1QL4	ENSG00000186897
C1QTNF4	ENSG00000172247
C1S	ENSG00000182326
C2orf16	ENSG00000221843
C2orf68	ENSG00000168887
C2orf70	ENSG00000173557
C2orf73	ENSG00000177994
C3orf18	ENSG00000088543
C5orf22	ENSG00000082213
C5orf30	ENSG00000181751
C6orf163	ENSG00000203872
C6orf222	ENSG00000189325
C7orf61	ENSG00000185955
C8orf34	ENSG00000165084
C8orf37	ENSG00000156172
C8orf58	ENSG00000241852
C9orf135	ENSG00000204711
C10orf62	ENSG00000203942
C10orf71	ENSG00000177354
C10orf90	ENSG00000154493
C11orf49	ENSG00000149179
C11orf52	ENSG00000149300
C12orf50	ENSG00000165805
C12orf76	ENSG00000174456
C14orf178	ENSG00000197734
C15orf39	ENSG00000167173
C16orf89	ENSG00000153446
C17orf49	ENSG00000258315
C17orf78	ENSG00000278505
C17orf82	ENSG00000187013
C17orf102	ENSG00000197322
C19orf33	ENSG00000167644
C19orf57	ENSG00000132016
C19orf67	ENSG00000188032
CA10	ENSG00000154975
CA13	ENSG00000185015
CA14	ENSG00000118298
CABP1	ENSG00000157782
CACNA1I	ENSG00000100346
CACNG8	ENSG00000142408
CACTIN	ENSG00000105298
CACYBP	ENSG00000116161
CAD	ENSG00000084774
CALB2	ENSG00000172137
CALCOCO1	ENSG00000012822
CALM2	ENSG00000143933
CALR	ENSG00000179218
CAMK2G	ENSG00000148660
CAMSAP3	ENSG00000076826
CAPN15	ENSG00000103326
CAPNS2	ENSG00000256812
CAPRIN1	ENSG00000135387
CAPRIN2	ENSG00000110888
CAPZA1	ENSG00000116489
CAPZB	ENSG00000077549
CARD6	ENSG00000132357
CARD8-AS1	ENSG00000268001
CARNS1	ENSG00000172508
CASC3	ENSG00000108349
CASC4	ENSG00000166734
CASC8	ENSG00000246228
CASC22	ENSG00000260887
CASP9	ENSG00000132906
CATIP-AS1	ENSG00000225062
CAVIN2	ENSG00000168497
CBLN1	ENSG00000102924
CBR3	ENSG00000159231
CBX7	ENSG00000100307
CBX8	ENSG00000141570
CCDC3	ENSG00000151468
CCDC18-AS1	ENSG00000223745
CCDC22	ENSG00000101997
CCDC40	ENSG00000141519
CCDC57	ENSG00000176155
CCDC59	ENSG00000133773
CCDC63	ENSG00000173093
CCDC68	ENSG00000166510
CCDC69	ENSG00000198624
CCDC71L	ENSG00000253276
CCDC102A	ENSG00000135736
CCDC122	ENSG00000151773
CCDC140	ENSG00000163081
CCDC150	ENSG00000144395
CCDC175	ENSG00000151838
CCDC181	ENSG00000117477
CCDC185	ENSG00000178395
CCDC186	ENSG00000165813
CCKAR	ENSG00000163394
CCL4L2	ENSG00000276070
CCL14	ENSG00000276409
CCN6	ENSG00000112761
CCNB3	ENSG00000147082
CCNG1	ENSG00000113328
CCNO	ENSG00000152669
CCSER1	ENSG00000184305
CCT2	ENSG00000166226
CD1B	ENSG00000158485
CD6	ENSG00000013725
CD27	ENSG00000139193
CD40	ENSG00000101017
CD52	ENSG00000169442
CD79A	ENSG00000105369
CD83	ENSG00000112149
CD300LD	ENSG00000204345
CDAN1	ENSG00000140326
CDC5L	ENSG00000096401
CDC34	ENSG00000099804
CDC37L1-DT	ENSG00000273061
CDC42BPB	ENSG00000198752
CDC42EP1	ENSG00000128283
CDC42EP3	ENSG00000163171
CDC42SE2	ENSG00000158985
CDC45	ENSG00000093009
CDC73	ENSG00000134371
CDH26	ENSG00000124215
CDK5	ENSG00000164885
CDK5R1	ENSG00000176749
CDK5R2	ENSG00000171450
CDK11A	ENSG00000008128
CDK18	ENSG00000117266
CEACAM19	ENSG00000186567
CELSR3	ENSG00000008300
CEMIP2	ENSG00000135048
CEMP1	ENSG00000205923
CENPF	ENSG00000117724
CEP55	ENSG00000138180
CEP68	ENSG00000011523
CEP85	ENSG00000130695
CERNA1	ENSG00000259577
CFAP97	ENSG00000164323
CFAP161	ENSG00000156206
CFAP221	ENSG00000163075
CFC1	ENSG00000136698
CFL2	ENSG00000165410
CFTR	ENSG00000001626
CGB1	ENSG00000267631
CHCHD2	ENSG00000106153
CHCHD5	ENSG00000125611
CHD3	ENSG00000170004
CHD7	ENSG00000171316
CHD9	ENSG00000177200
CHDH	ENSG00000016391
CHMP4C	ENSG00000164695
CHPF	ENSG00000123989
CHRM3-AS2	ENSG00000233355
CHRM4	ENSG00000180720
CHRM5	ENSG00000184984
CHST4	ENSG00000140835
CHST13	ENSG00000180767
CHST14	ENSG00000169105
CHSY3	ENSG00000198108
CHTF8	ENSG00000168802
CIC	ENSG00000079432
CIDEC	ENSG00000187288
CIPC	ENSG00000198894
CISH	ENSG00000114737
CKAP4	ENSG00000136026
CKAP5	ENSG00000175216
CLCA2	ENSG00000137975
CLCA4	ENSG00000016602
CLCN6	ENSG00000011021
CLCNKA	ENSG00000186510
CLDN3	ENSG00000165215
CLDN7	ENSG00000181885
CLDN11	ENSG00000013297
CLDN14	ENSG00000159261
CLEC4E	ENSG00000166523
CLEC9A	ENSG00000197992
CLEC18A	ENSG00000157322
CLEC18B	ENSG00000140839
CLN5	ENSG00000102805
CLTA	ENSG00000122705
CLTB	ENSG00000175416
CMSS1	ENSG00000184220
CNIH3	ENSG00000143786
CNIH4	ENSG00000143771
CNOT2	ENSG00000111596
CNPY2	ENSG00000257727
CNTD2	ENSG00000105219
CNTF	ENSG00000242689
CNTN4-AS1	ENSG00000237990
CNTN5	ENSG00000149972
CNTNAP5	ENSG00000155052
CNTRL	ENSG00000119397
COG4	ENSG00000103051
COG5	ENSG00000164597
COL2A1	ENSG00000139219
COL4A2	ENSG00000134871
COL6A3	ENSG00000163359
COL7A1	ENSG00000114270
COLCA1	ENSG00000196167
COLEC10	ENSG00000184374
COMT	ENSG00000093010
COPB1	ENSG00000129083
COPB2	ENSG00000184432
COPS8	ENSG00000198612
COPS9	ENSG00000172428
COQ4	ENSG00000167113
COQ9	ENSG00000088682
COX6A2	ENSG00000156885
COX6C	ENSG00000164919
COX7A2L	ENSG00000115944
COX10-AS1	ENSG00000236088
COX15	ENSG00000014919
CPB1	ENSG00000153002
CPEB2-DT	ENSG00000247624
CPLANE1	ENSG00000197603
CPNE8	ENSG00000139117
CPPED1	ENSG00000103381
CRADD	ENSG00000169372
CRB1	ENSG00000134376
CREBBP	ENSG00000005339
CREG1	ENSG00000143162
CRIM1	ENSG00000150938
CRISP3	ENSG00000096006
CRLS1	ENSG00000088766
CRTC3	ENSG00000140577
CRYBB1	ENSG00000100122
CRYBG2	ENSG00000176092
CSAG2	ENSG00000268902
CSE1L-AS1	ENSG00000227431
CSMD3	ENSG00000164796
CSNK2A1	ENSG00000101266
CSRNP2	ENSG00000110925
CST2	ENSG00000170369
CST3	ENSG00000101439
CST7	ENSG00000077984
CST11	ENSG00000125831
CSTF3	ENSG00000176102
CT45A2	ENSG00000271449
CT45A5	ENSG00000228836
CTAGE8	ENSG00000244693
CTCFL	ENSG00000124092
CTDNEP1	ENSG00000175826
CTPS1	ENSG00000171793
CTSS	ENSG00000163131
CTTN	ENSG00000085733
CTXN2	ENSG00000233932
CUL4A	ENSG00000139842
CXCL11	ENSG00000169248
CYB5R1	ENSG00000159348
CYBC1	ENSG00000178927
CYP1A1	ENSG00000140465
CYP1A2	ENSG00000140505
CYP2F1	ENSG00000197446
CYP2J2	ENSG00000134716
CYP2W1	ENSG00000073067
CYP11B1	ENSG00000160882
CYP19A1	ENSG00000137869
CYP26A1	ENSG00000095596
CYP27A1	ENSG00000135929
CYTH4	ENSG00000100055
DAB1-AS1	ENSG00000226759
DAB2IP	ENSG00000136848
DACH1	ENSG00000276644
DAGLA	ENSG00000134780
DAPK1	ENSG00000196730
DARS-AS1	ENSG00000231890
DAW1	ENSG00000123977
DAZ1	ENSG00000188120
DAZ2	ENSG00000205944
DBF4B	ENSG00000161692
DCAF11	ENSG00000100897
DCDC2	ENSG00000146038
DCDC2C	ENSG00000214866
DCT	ENSG00000080166
DCUN1D5	ENSG00000137692
DDRGK1	ENSG00000198171
DDX6	ENSG00000110367
DDX23	ENSG00000174243
DDX39A	ENSG00000123136
DDX46	ENSG00000145833
DDX56	ENSG00000136271
DEAF1	ENSG00000177030
DEFB114	ENSG00000177684
DEFB124	ENSG00000180383
DEFB127	ENSG00000088782
DEFB130A	ENSG00000232948
DENND5A	ENSG00000184014
DENND5B	ENSG00000170456
DEXI	ENSG00000182108
DGCR6	ENSG00000183628
DGCR6L	ENSG00000128185
DGKB	ENSG00000136267
DHODH	ENSG00000102967
DHRS4L1	ENSG00000225766
DHRS7	ENSG00000100612
DHRS7B	ENSG00000109016
DHX15	ENSG00000109606
DIAPH3	ENSG00000139734
DIAPH3-AS2	ENSG00000223815
DIMT1	ENSG00000086189
DIP2A-IT1	ENSG00000223692
DIRAS2	ENSG00000165023
DIRAS3	ENSG00000162595
DISC1	ENSG00000162946
DISC1-IT1	ENSG00000226758
DISP1	ENSG00000154309
DKK1	ENSG00000107984
DLAT	ENSG00000150768
DLEU2	ENSG00000231607
DLST	ENSG00000119689
DLX5	ENSG00000105880
DLX6-AS1	ENSG00000231764
DMBT1	ENSG00000187908
DMC1	ENSG00000100206
DMXL1	ENSG00000172869
DNA2	ENSG00000138346
DNAAF3	ENSG00000167646
DNAAF5	ENSG00000164818
DNAJA2	ENSG00000069345
DNAJB3	ENSG00000227802
DNAJC2	ENSG00000105821
DNAJC5	ENSG00000101152
DNASE1L1	ENSG00000013563
DNMBP	ENSG00000107554
DNMT3B	ENSG00000088305
DNTTIP1	ENSG00000101457
DOC2B	ENSG00000272636
DOCK1	ENSG00000150760
DOK7	ENSG00000175920
DOLK	ENSG00000175283
DPEP2	ENSG00000167261
DPH5	ENSG00000117543
DPH7	ENSG00000148399
DPM1	ENSG00000000419
DPP9	ENSG00000142002
DPPA2	ENSG00000163530
DPY19L4	ENSG00000156162
DSCAML1	ENSG00000177103
DTX1	ENSG00000135144
DUSP13	ENSG00000079393
DYNLL2	ENSG00000264364
DYRK1A	ENSG00000157540
DYRK4	ENSG00000010219
DYTN	ENSG00000232125
DZANK1	ENSG00000089091
E2F1	ENSG00000101412
EBF2	ENSG00000221818
EBF4	ENSG00000088881
EBI3	ENSG00000105246
EBLN1	ENSG00000223601
ECE1	ENSG00000117298
ECHS1	ENSG00000127884
EDEM3	ENSG00000116406
EDF1	ENSG00000107223
EDNRA	ENSG00000151617
EEA1	ENSG00000102189
EFCAB5	ENSG00000176927
EFCAB8	ENSG00000215529
EFNA1	ENSG00000169242
EGFLAM-AS1	ENSG00000249491
EHBP1	ENSG00000115504
EHD1	ENSG00000110047
EHD2	ENSG00000024422
EID1	ENSG00000255302
EIF3F	ENSG00000175390
EIF4A1	ENSG00000161960
EIF5A2	ENSG00000163577
EIF5AL1	ENSG00000253626
EIPR1	ENSG00000032389
ELAVL2	ENSG00000107105
ELF4	ENSG00000102034
ELL2	ENSG00000118985
ELL3	ENSG00000128886
ELMO3	ENSG00000102890
ELOA3B	ENSG00000278674
ELOA3D	ENSG00000274744
ELOB	ENSG00000103363
ELOF1	ENSG00000130165
ELP3	ENSG00000134014
EMC2	ENSG00000104412
EML6	ENSG00000214595
EN1	ENSG00000163064
ENY2	ENSG00000120533
EPB41L2	ENSG00000079819
EPHA5	ENSG00000145242
ERC1	ENSG00000082805
ERCC6L2	ENSG00000182150
ERMN	ENSG00000136541
ERN1	ENSG00000178607
ERO1B	ENSG00000086619
ERVMER61-1	ENSG00000230426
ERVW-1	ENSG00000242950
ESM1	ENSG00000164283
ESPN	ENSG00000187017
ESRG	ENSG00000265992
ETFBKMT	ENSG00000139160
ETNK2	ENSG00000143845
ETS1	ENSG00000134954
EXD2	ENSG00000081177
EXOSC4	ENSG00000178896
EXOSC5	ENSG00000077348
EXT2	ENSG00000151348
EZR	ENSG00000092820
F5	ENSG00000198734
F9	ENSG00000101981
F12	ENSG00000131187
FAAP24	ENSG00000131944
FAHD2A	ENSG00000115042
FAM8A1	ENSG00000137414
FAM13B	ENSG00000031003
FAM43B	ENSG00000183114
FAM50B	ENSG00000145945
FAM78B	ENSG00000188859
FAM83C-AS1	ENSG00000235214
FAM83F	ENSG00000133477
FAM102A	ENSG00000167106
FAM107A	ENSG00000168309
FAM118A	ENSG00000100376
FAM122C	ENSG00000156500
FAM129B	ENSG00000136830
FAM133A	ENSG00000179083
FAM160A2	ENSG00000051009
FAM170B	ENSG00000172538
FAM171A2	ENSG00000161682
FAM177A1	ENSG00000151327
FAM180A	ENSG00000189320
FAM182A	ENSG00000125804
FAM186A	ENSG00000185958
FAM187B	ENSG00000177558
FAM198B-AS1	ENSG00000248429
FAM209A	ENSG00000124103
FAM219A	ENSG00000164970
FAM226B	ENSG00000269911
FAM229A	ENSG00000225828
FAM230E	ENSG00000182824
FAM240C	ENSG00000216921
FAM243A	ENSG00000222018
FAN1	ENSG00000198690
FANCF	ENSG00000183161
FANK1	ENSG00000203780
FARP1	ENSG00000152767
FARSA	ENSG00000179115
FASTK	ENSG00000164896
FAT1	ENSG00000083857
FBXL20	ENSG00000108306
FBXO16	ENSG00000214050
FBXO17	ENSG00000269190
FBXO33	ENSG00000165355
FBXO34	ENSG00000178974
FBXO47	ENSG00000204952
FCGRT	ENSG00000104870
FCHO1	ENSG00000130475
FCRL1	ENSG00000163534
FCRL5	ENSG00000143297
FCRL6	ENSG00000181036
FER1L6	ENSG00000214814
FFAR4	ENSG00000186188
FGD4	ENSG00000139132
FGF5	ENSG00000138675
FGF12	ENSG00000114279
FGF14-IT1	ENSG00000243319
FGFR4	ENSG00000160867
FGFRL1	ENSG00000127418
FHAD1	ENSG00000142621
FJX1	ENSG00000179431
FKBP1C	ENSG00000198225
FKBP14	ENSG00000106080
FKBPL	ENSG00000204315
FKRP	ENSG00000181027
FLRT1	ENSG00000126500
FLT1	ENSG00000102755
FLYWCH2	ENSG00000162076
FNDC4	ENSG00000115226
FNDC9	ENSG00000172568
FOXA1	ENSG00000129514
FOXD1	ENSG00000251493
FOXD3-AS1	ENSG00000230798
FOXP4-AS1	ENSG00000234753
FPGS	ENSG00000136877
FRMD3	ENSG00000172159
FRMD5	ENSG00000171877
FRRS1L	ENSG00000260230
FRS3	ENSG00000137218
FSIP2-AS2	ENSG00000226747
FTCDNL1	ENSG00000226124
FUNDC1	ENSG00000069509
FXN	ENSG00000165060
FXYD5	ENSG00000089327
FYCO1	ENSG00000163820
GABPB1-IT1	ENSG00000285410
GABPB2	ENSG00000143458
GABRA4	ENSG00000109158
GABRQ	ENSG00000268089
GABRR2	ENSG00000111886
GAD1	ENSG00000128683
GAGE1	ENSG00000205777
GAGE2A	ENSG00000189064
GAGE10	ENSG00000215274
GALNT4	ENSG00000257594
GALNT16	ENSG00000100626
GALR2	ENSG00000182687
GALR3	ENSG00000128310
GAPDH	ENSG00000111640
GARS-DT	ENSG00000196295
GAS1	ENSG00000180447
GAS2	ENSG00000148935
GATA2	ENSG00000179348
GATB	ENSG00000059691
GBA3	ENSG00000249948
GCAT	ENSG00000100116
GCK	ENSG00000106633
GCNA	ENSG00000147174
GDF2	ENSG00000263761
GDF5	ENSG00000125965
GEMIN6	ENSG00000152147
GET4	ENSG00000239857
GFOD1-AS1	ENSG00000237786
GFRA4	ENSG00000125861
GGT5	ENSG00000099998
GHDC	ENSG00000167925
GHR	ENSG00000112964
GID8	ENSG00000101193
GIMAP1-GIMAP5	ENSG00000281887
GJA4	ENSG00000187513
GJC2	ENSG00000198835
GK5	ENSG00000175066
GLB1L	ENSG00000163521
GLI1	ENSG00000111087
GLYCTK-AS1	ENSG00000242797
GMEB2	ENSG00000101216
GNAI2	ENSG00000114353
GNB5	ENSG00000069966
GNG11	ENSG00000127920
GNL2	ENSG00000134697
GNRHR	ENSG00000109163
GOLGA2	ENSG00000167110
GOLGA6L1	ENSG00000273976
GOLGA6L7	ENSG00000261649
GOLGA8F	ENSG00000153684
GOLGA8M	ENSG00000188626
GP9	ENSG00000169704
GPAA1	ENSG00000197858
GPBP1L1	ENSG00000159592
GPN2	ENSG00000142751
GPR15	ENSG00000154165
GPR35	ENSG00000178623
GPR37L1	ENSG00000170075
