TPP	THIAMINE DIPHOSPHATE
NAD	NICOTINAMIDE-ADENINE-DINUCLEOTIDE
NAP	NADP NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE
NDP	NADPH DIHYDRO-NICOTINAMIDE-ADENINE-DINUCLEOTIDE PHOSPHATE
PLP	PYRIDOXAL-5'-PHOSPHATE
COB	CO-METHYLCOBALAMIN
B12	COBALAMIN
BTN	BIOTIN
COA	COENZYME A
FOL	FOLIC ACID
PQN	PHYLLOQUINONE (Vitamin K)
ASC	PHYLLOQUINONE
FMN	FLAVIN MONONUCLEOTIDE
FAD	FLAVIN-ADENINE DINUCLEOTIDE
F42	COENZYME F420
ATP	ADENOSINE-5'-TRIPHOSPHATE
ADP	ADENOSINE-5'-DIPHOSPHATE
AMP	ADENOSINE MONOPHOSPHATE
TP7	Coenzyme B
U10	UBIQUINONE-10
CTP	CYTIDINE-5'-TRIPHOSPHATE
GSH	GLUTATHIONE
HEM	PROTOPORPHYRIN IX CONTAINING FE
UDP	URIDINE-5'-DIPHOSPHATE
UTP	URIDINE 5'-TRIPHOSPHATE
GTP	GUANOSINE-5'-TRIPHOSPHATE
GDP	GUANOSINE-5'-DIPHOSPHATE
GMP	GUANOSINE
CTP	CYTIDINE-5'-TRIPHOSPHATE
CDP	CYTIDINE-5'-DIPHOSPHATE
C5P	CYTIDINE-5'-MONOPHOSPHATE
CMP	ADENOSINE-3',5'-CYCLIC-MONOPHOSPHATE
TTP	THYMIDINE-5'-TRIPHOSPHATE
TDP	THIAMIN DIPHOSPHATE
TMP	THYMIDINE-5'-PHOSPHATE
PPS	3'-PHOSPHATE-ADENOSINE-5'-PHOSPHATE SULFATE (PAPS)
PQQ	PYRROLOQUINOLINE QUINONE
THB	TETRAHYDROBIOPTERIN
N4M	Tetrahydromethanopterin
SAM	S-ADENOSYLMETHIONINE
SAH	S-ADENOSYL-L-HOMOCYSTEINE
SER	SERINE
ANP	PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER
