,ensembl_gene_id,small_mol_druggable,accession,canonical_smiles,target_chembl_id_x,Unnamed: 0,px_number,domain_id,ensemble,tractable,druggable,target_name,max_phase,target_chembl_id_y,pref_name,moa_chembl,site_id,target_type,Bucket_1,Bucket_2,Bucket_3,Bucket_4,Bucket_5,Bucket_6,Bucket_7,Bucket_8,Bucket_sum,Top_bucket
0,ENSG00000000938,Y,P09769,48.0,CHEMBL4454,,,,-1.0,,,SRC,4.0,CHEMBL2363074,"('DASATINIB', 'DASATINIB', 'DASATINIB', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'XL-228', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'TG100-801', 'ILORASERTIB', 'ILORASERTIB', 'ILORASERTIB', 'ENMD-981693', 'ENMD-981693', 'ENMD-981693')","('INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR')",,PROTEIN FAMILY,1,0,0,0,0,0,1,1,3,1
1,ENSG00000001626,Y,P13569,40.0,CHEMBL4051,175754.0,4256111.0,57633.0,0.75895895,1.0,1.0,Cystic fibrosis transmembrane conductance regulator,4.0,CHEMBL4051,"('QBW251', 'QBW251', 'QBW251', 'QBW251', 'QBW251', 'QBW251', 'CROFELEMER', 'CROFELEMER', 'CROFELEMER', 'IVACAFTOR', 'IVACAFTOR', 'IVACAFTOR', 'TEZACAFTOR', 'TEZACAFTOR', 'TEZACAFTOR', 'TEZACAFTOR', 'TEZACAFTOR', 'TEZACAFTOR', 'LUMACAFTOR', 'LUMACAFTOR', 'LUMACAFTOR')","('ACTIVATOR', 'ACTIVATOR', 'ACTIVATOR', 'ACTIVATOR', 'ACTIVATOR', 'ACTIVATOR', 'INHIBITOR', 'INHIBITOR', 'INHIBITOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'POSITIVE MODULATOR', 'STABILISER', 'STABILISER', 'STABILISER')",,SINGLE PROTEIN,1,0,0,1,1,0,1,1,5,1
2,ENSG00000001630,Y,Q16850,11.0,CHEMBL3849,186570.0,4098418.0,56505.0,0.78774175,1.0,1.0,,,CHEMBL3849,"(nan,)","(nan,)",,,0,0,0,1,1,0,1,1,4,4
3,ENSG00000002549,Y,P28838,,,,,,-1.0,,,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,1,1,8
4,ENSG00000004468,N,P28907,44.0,CHEMBL4660,180036.0,4153742.0,30603.0,0.7667491999999999,1.0,1.0,,,CHEMBL4660,"(nan,)","(nan,)",,,0,0,0,1,1,0,1,0,3,4
5,ENSG00000004478,Y,Q02790,7.0,CHEMBL4050,187231.0,4223162.0,57376.0,0.26098529,1.0,1.0,,,CHEMBL4050,"(nan,)","(nan,)",,,0,0,0,1,0,1,1,1,4,4
6,ENSG00000004660,Y,Q8N5S9,53.0,CHEMBL5256,,,,-1.0,,,,,CHEMBL5256,"(nan,)","(nan,)",,,0,0,0,0,0,0,1,1,2,7
7,ENSG00000004700,Y,P46063,,,179568.0,3260149.0,37307.0,-0.89096524,1.0,0.0,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,1,1,8
8,ENSG00000004809,Y,Q86VW1,,,,,,-1.0,,,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,1,1,8
9,ENSG00000004846,Y,Q2M3G0,,,,,,-1.0,,,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,1,1,8
10,ENSG00000004948,Y,P30988,3.0,CHEMBL2111190,,,,-1.0,,,,,CHEMBL2111190,"(nan,)","(nan,)",,,0,0,0,1,0,0,1,1,3,4
11,ENSG00000005381,Y,P05164,66.0,CHEMBL2439,170029.0,3720045.0,31935.0,0.79221369,1.0,1.0,,,CHEMBL2439,"(nan,)","(nan,)",,,0,0,0,1,1,0,1,1,4,4
12,ENSG00000005421,N,P27169,,,,,,-1.0,,,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,0,0,10
13,ENSG00000005471,N,P21439,,,,,,-1.0,,,,,,"(nan,)","(nan,)",,,0,0,0,0,0,0,0,0,0,10
14,ENSG00000005844,Y,P20701,262.0,CHEMBL2096661,188832.0,4217823.0,56832.0,0.7608486999999999,1.0,1.0,Integrin alpha-L/beta-2 (LFA-1),4.0,CHEMBL2364172,"('LIFITEGRAST', 'LIFITEGRAST')","('ANTAGONIST', 'ANTAGONIST')",2644.0,PROTEIN COMPLEX,1,0,0,1,1,0,1,1,5,1
